01/06/2006, 13/07/2006, Weather
02/08/2007, 13/09/2007, Weather
13/09/2007, 25/10/2007, Weather
24/03/2008, 05/05/2008, Inflation
20/05/2008, 01/07/2008, Fuel
26/06/2008, 07/08/2008, Inflation
26/06/2009, 07/08/2009, Weather
19/10/2009, 30/11/2009, Inflation 
28/11/2009, 09/01/2010, Inflation 
23/12/2009, 03/02/2010, Inflation 
12/02/2010, 26/03/2010, Inflation
25/06/2010, 06/08/2010, Inflation
04/09/2010, 16/10/2010, Weather
11/11/2010, 23/12/2010, Hoarding
06/12/2010, 17/01/2011, Hoarding
20/12/2010, 31/01/2011, Hoarding
06/01/2011, 17/02/2011, Hoarding
23/04/2011, 04/06/2011, Fuel
15/07/2011, 26/08/2011, Inflation
26/03/2012, 07/05/2012, Fuel
25/04/2012, 06/06/2012, Inflation
25/08/2012, 06/10/2012, Fuel
13/01/2013, 24/02/2013, Weather
29/07/2013, 09/09/2013, Hoarding
27/08/2013, 08/10/2013, Hoarding
01/10/2013, 12/11/2013, Hoarding
21/12/2013, 01/02/2014, Hoarding
07/03/2014, 18/04/2014, Weather
07/05/2014, 18/06/2014, Inflation