19/02/2006, 02/04/2006, Weather
27/05/2006, 08/07/2006, Weather
23/10/2006, 04/12/2006, Weather
21/01/2007, 04/03/2007, Inflation
07/02/2007, 21/03/2007, Hoarding
07/06/2007, 19/07/2007, Transport
31/07/2007, 11/09/2007, Weather
05/09/2007, 17/10/2007, Hoarding
24/09/2007, 05/11/2007, Weather
18/03/2008, 29/04/2008, Hoarding
16/05/2008, 27/06/2008, Weather
02/11/2008, 14/12/2008, Weather
17/12/2008, 28/01/2009, Transport Fuel Weather
12/06/2009, 24/07/2009, Fuel
17/09/2009, 29/10/2009, Weather
24/10/2009, 05/12/2009, Inflation
28/11/2009, 09/01/2010, Weather
26/12/2009, 06/02/2010, Inflation
01/05/2010, 12/06/2010, Inflation
06/06/2010, 18/07/2010, Transport
05/10/2010, 16/11/2010, Transport
27/10/2010, 08/12/2010, Weather
01/12/2010, 12/01/2011, Hoarding
26/12/2010, 06/02/2011, Hoarding
02/04/2011, 14/05/2011, Inflation
26/06/2011, 07/08/2011, Inflation
23/07/2011, 03/09/2011, Inflation Weather
21/08/2011, 02/10/2011, Hoarding
15/10/2011, 26/11/2011, Inflation
23/12/2012, 03/02/2013, Hoarding
10/06/2013, 22/07/2013, Hoarding
26/07/2013, 06/09/2013, Hoarding Weather
29/08/2013, 10/10/2013, Weather Hoarding
27/09/2013, 08/11/2013, Hoarding
13/11/2013, 25/12/2013, Hoarding Weather
20/01/2014, 03/03/2014, Hoarding
29/03/2014, 10/05/2014, Weather
23/05/2014, 04/07/2014, Hoarding
25/06/2014, 06/08/2014, Hoarding Weather
22/08/2014, 03/10/2014, Weather Hoarding