Year,Month,Source,Quantity(MT),Value(Lakh),PUV(Rs/MT)
2005,April,NAFED,93798,7216.39,7693.5
2005,May,NAFED,56804,4636.69,8162.6
2005,June,NAFED,61081,5355.1,8767.2
2005,July,NAFED,65390,5924.58,9060.3
2005,August,NAFED,68519,6893.6,10060.8
2005,September,NAFED,45616,4962.31,10878.4
2005,October,NAFED,40646,4449.34,10946.5
2005,November,NAFED,47813,5347.81,11184.8
2005,December,NAFED,75477,8042.79,10655.9
2006,January,NAFED,82423,7434.23,9019.6
2006,February,NAFED,62094,5056.49,8143.2
2006,March,NAFED,78473,6277.38,7999.4
2006,April,NAFED,88553,6457.28,7291.9
2006,May,NAFED,104343,7917.82,7588.2
2006,June,NAFED,92979,7632.93,8209.3
2006,July,NAFED,102603,8242.87,8033.7
2006,August,NAFED,115304,9274.02,8043.1
2006,September,NAFED,102163,9269.18,9072.9
2006,October,NAFED,88389,8127,9194.5
2006,November,NAFED,108170,11072.56,10236.2
2006,December,NAFED,123818,12920.59,10435.1
2007,January,NAFED,67194,8043.06,11969.9
2007,February,NAFED,73862,10554.3,14289.2
2007,March,NAFED,93684,14031.15,14977.1
2007,April,NAFED,94167,11160.79,11852.1
2007,May,NAFED,84760,8114.01,9572.9
2007,June,NAFED,70976,7689.99,10834.6
2007,July,NAFED,61629,8334.64,13523.8
2007,August,NAFED,71320,10905.66,15291.1
2007,September,NAFED,64188,11952.83,18621.5
2007,October,NAFED,26067,5238.36,20095.7
2007,November,NAFED,58803,10804.66,18374.3
2007,December,NAFED,158734,19288.6,12151.5
2008,January,NAFED,133887,13213.23,9868.9
2008,February,NAFED,137781,11100.97,8056.9
2008,March,NAFED,139089,10778.55,7749.3
2008,April,NAFED,131082,10670.8,8140.5
2008,May,NAFED,177626,14411.43,8113.3
2008,June,NAFED,149821,12035,8032.9
2008,July,NAFED,168498,17481.14,10374.6
2008,August,NAFED,154653,18192.09,11763.1
2008,September,NAFED,134246,16507.92,12296.7
2008,October,NAFED,125912,15694.73,12464.8
2008,November,NAFED,108907,16304.57,14971
2008,December,NAFED,100379,17433.85,17368
2009,January,NAFED,114317,22208.88,19427.4
2009,February,NAFED,158990,26513.01,16675.8
2009,March,NAFED,258849,36858.83,14239.5
2009,April,NAFED,238234,27454.5,11524.1
2009,May,NAFED,190602,18989.26,9962.7
2009,June,NAFED,159765,16619.53,10402.4
2009,July,NAFED,205072,23717.42,11565.4
2009,August,NAFED,186144,22117.18,11881.7
2009,September,NAFED,141298,17672.08,12506.9
2009,October,NAFED,177962,26202.71,14723.7
2009,November,NAFED,84220,19182.35,22776.4
2009,December,NAFED,98921,23542.02,23798.8
2010,January,NAFED,108237,25825.57,23860.2
2010,February,NAFED,114983,26721.43,23239.4
2010,March,NAFED,167564,35384.13,21116.7
2010,April,NAFED,186631,24047.17,12884.8
2010,May,NAFED,172188,19629.15,11399.8
2010,June,NAFED,149844,18495.73,12343.3
2010,July,NAFED,175034,22511.59,12861.2
2010,August,NAFED,158515,20824.6,13137.3
2010,September,NAFED,92078,17010.99,18474.5
2010,October,NAFED,103822,24256.71,23363.7
2010,November,NAFED,80314,20288.25,25261.1
2010,December,NAFED,17708,5606.5,31660.8
2011,February,NAFED,45409,13493.96,29716.4
2011,March,NAFED,159229,29740.91,18678
2011,April,NAFED,145453,15536.57,10681.5
2011,May,NAFED,146596,16766.58,11437.2
2011,June,NAFED,137753,17524.69,12721.8
2011,July,NAFED,120773,15098.55,12501.5
2011,August,NAFED,90963,12641.35,13897.2
2011,September,NAFED,132782,28312.85,21322.8
2011,October,NAFED,103447,24901.07,24071.3
2011,November,NAFED,112460,24788.41,22041.9
2011,December,NAFED,113823,16731.4,14699.4
2012,January,NAFED,147255,16069.35,10912.6
2012,February,NAFED,152197,13210.48,8679.8
2012,March,NAFED,149402,12561.63,8407.9
2012,April,NAFED,158812,15615.07,9832.4
2012,May,NAFED,175961,17260.88,9809.4
2012,June,NAFED,182501,17770.94,9737.4
2012,July,NAFED,177077,17264.83,9749.8
2012,August,NAFED,156283,16492.98,10553.2
2012,September,NAFED,150833,17051.33,11304.7
2012,October,NAFED,154957,19735.48,12736.1
2012,November,NAFED,110611,16014.35,14478
2012,December,NAFED,137956,21101.52,15295.8
2013,January,NAFED,133141,23731.2,17824.1
2013,February,NAFED,101860,19095.38,18746.6
2013,March,NAFED,182768,28356.98,15515.2
2013,April,NAFED,203578,27228.75,13375
2013,May,NAFED,193083,25824.85,13374.9
2013,June,NAFED,143165,27917.17,19499.9
2013,July,NAFED,126432,35551.41,28118.9
2013,August,NAFED,39481,16937.35,42900
2013,September,NAFED,23786,13486.66,56699.9
2013,October,NAFED,58142,34245.64,58900
2013,November,NAFED,66236,47226.26,71299.9
2013,December,NAFED,133290,24791.94,18600
2014,January,NAFED,121000,11253,9300
2014,February,NAFED,150000,13950,9300
2014,March,NAFED,100000,9300,9300
2014,April,DGCIS,127461.2,13656.6,10714.3
2014,May,DGCIS,137614.68,18160.99,13196.9
2014,June,DGCIS,127327.93,18351.43,14412.7
2014,July,DGCIS,60252.69,15606.91,25902.4
2014,August,DGCIS,58891.37,16101.73,27341.4
2014,September,DGCIS,78353.02,16274.36,20770.5
2014,October,DGCIS,78489,15765.06,20085.6
2014,November,DGCIS,65107.81,13178.28,20240.7
2014,December,DGCIS,42793.43,9379.45,21917.9
2015,January,DGCIS,112380.95,23323.89,20754.3
2015,February,DGCIS,81769.99,17264.01,21112.8
2015,March,DGCIS,115629.78,23931.82,20696.9
2015,April,DGCIS,117377.22,22189.66,18904.5
2015,May,DGCIS,118507.11,22280.43,18800.9
2015,June,DGCIS,103518.22,21760.24,21020.6
2015,July,DGCIS,77002.03,21281.17,27637.1
2015,August,DGCIS,42693.41,14548.01,34075.5
2015,September,DGCIS,26832.52,13006.69,48473.6
2015,October,DGCIS,23353.65,10864.46,46521.4
2015,November,DGCIS,65939.09,30349.01,46025.8
2015,December,DGCIS,120008.07,39880.66,33231.6
2016,January,DGCIS,133425.37,20010.03,14997.1
2016,February,DGCIS,151909.55,20038.84,13191.2
2016,March,DGCIS,133851.89,16660.29,12446.8
2016,April,DGCIS,142767.95,17354.91,12156
2016,May,DGCIS,166035.85,19783.44,11915.1
2016,June,DGCIS,278672.29,35002.5,12560.4
2016,July,DGCIS,200781.27,25643.18,12771.6
2016,August,DGCIS,275685.25,34442.41,12493.3
2016,September,DGCIS,292438.87,43073.66,14729.1
2016,October,DGCIS,278438.04,44891.23,16122.5
2016,November,DGCIS,376163.36,60706.25,16138.2
2016,December,DGCIS,388839.6,57692.04,14836.9
2017,January,DGCIS,320741.62,41416.21,12912.6
2017,February,DGCIS,348070.04,39524.09,11355.2
2017,March,DGCIS,424084.1,45642.33,10762.5
2017,April,DGCIS,320943.85,38029.54,11849.2
2017,May,DGCIS,378809.13,43235.77,11413.6
