mandicode,mandiname,statecode,latitude,longitude,centreid
384,Baripada,23,21.9400000,86.7200000,14
335,Barasat,6,22.3425873,88.1449980,37
56,Mohindergarh,16,28.2570971,76.1428231,22
630,Perambra,27,11.5639505,75.7564492,39
1288,Jwalaji,10,31.8376646,76.1782115,17
388,Batala,3,31.8186000,75.2028000,5
605,Ellanabad,16,29.4500000,74.6500000,6
355,Naraingarh,16,30.4763890,77.1277780,49
537,Lasur Station,2,19.9267616,75.0107765,44
1206,Guna,19,24.6500000,77.3200000,9
1524,Betul,19,21.9108031,77.9011842,46
1566,Dhari(Chalala),14,21.3266490,71.0252571,55
841,Rayya,3,31.5400000,75.2300000,5
259,Tanda Urmur,3,31.6725491,75.6377148,5
991,Nissing,16,29.6923819,76.7625073,35
192,Parlakhemundi,23,18.8583919,84.2146240,71
545,Lakhimpur,17,27.9500000,80.7700000,40
1224,Islampur,6,26.2666670,88.2000000,63
1149,Chandrapur,2,19.9500000,79.3000000,46
542,Kiratpur,17,29.4994214,78.2077368,15
1533,Khirakiya,19,22.1666670,76.8616670,28
51,Jind,16,29.3166670,76.3166670,26
1098,Morena,19,26.5000000,78.0000000,24
1400,Abu Road,20,24.4800000,72.7800000,3
1428,Khed,2,17.7195516,73.3968136,44
71,Thanesar,16,29.9696148,76.8197522,35
520,Bahedi,17,28.7780401,79.4956974,25
1580,Bhikhi,3,30.0582031,75.5342579,6
1236,Ramanagara,13,12.7200000,77.3000000,7
353,Jakhal,16,29.7994702,75.8228899,26
926,Punhana,16,27.8619041,77.2054992,22
1238,Kannad,2,20.2700000,75.1300000,75
336,Bishnupur(Bankura),6,23.0800000,87.3200000,37
358,Siwani,16,28.9084317,75.6120795,26
1174,Hamirpur,17,31.6861745,76.5213092,42
526,Bindki,17,26.0300000,80.6000000,34
188,Keonjhar(Dhekikote),23,21.5151196,85.6845780,14
1546,Shyampur,19,23.3395550,77.4192758,9
1297,Nagaur,20,27.1991222,73.7409240,33
134,Jabalpur,19,23.1666670,79.9333330,30
715,Shajapur(F&V),19,23.4272938,76.2729839,28
322,Shahjahanpur,17,27.8837440,79.9122455,25
1507,Petlawad,19,23.0122956,74.7966079,28
1152,Deesa,14,24.2585031,72.1906721,3
1305,Rayadurg,25,14.6968690,76.8546505,7
543,Kishunpur,17,25.6122208,82.5821430,69
882,Sarangpur,19,23.5664503,76.4722560,9
849,Thiruvananthapuram,27,8.5241391,76.9366376,68
1018,Tileibani,23,21.5461978,84.6034271,60
1279,Gubbi,13,13.3100000,76.9400000,7
1554,Radheja,14,23.2922060,72.6417265,3
443,Asandh,16,29.5201121,76.6141754,35
332,Alipurduar,6,26.4918891,89.5271026,63
34,Surat,14,21.1702401,72.8310607,75
461,Deoghar,29,24.4800000,86.7000000,8
675,Dhule,2,20.9042201,74.7748979,75
323,Sitapur,17,27.5839037,80.6663560,40
251,Raman,3,29.9503980,74.9619480,6
1380,Bumhama-Kupwara (F&V),18,34.4476837,74.1978786,64
163,Yeola,2,20.0420000,74.4890000,44
685,Pimpalgaon,2,20.1699678,73.9873787,75
659,Madhoganj,17,27.1147181,80.1484407,34
1433,Lakhisarai,26,25.1677780,86.0944440,8
1521,Bareli,19,23.0056265,78.2307517,9
1485,Mallanwala,3,31.0472444,74.8136383,5
513,Angul(Jarapada),23,20.8444033,85.1510818,14
580,Nadia,6,22.7059105,88.7530076,37
1065,Ratnagiri (Nachane),2,16.9902150,73.3120233,48
894,Bharuasumerpur,17,25.8289700,80.1569337,34
313,Naugarh,17,27.2990659,83.0927827,69
1377,Rahuri(Songaon),2,19.3926780,74.6488264,44
406,Fatehabad,17,27.0221711,78.3074027,2
1410,Narasaraopet,25,16.2353506,80.0479039,70
598,Mullana,16,30.2449735,77.0622028,49
229,Khamano,3,30.8200000,76.3500000,11
607,Bokaro (Chas),29,23.6692956,86.1511120,56
1151,Kaliaganj,6,25.6330710,88.3269620,53
1031,Mohamadabad,17,25.1201270,83.0166672,69
385,Bolangir,23,20.7074234,83.4842725,60
136,Ratlam,19,23.3341696,75.0376325,28
722,Bahadajholla,23,20.0764351,84.9219115,10
22,Dhoraji,14,21.7336700,70.4499150,55
346,Tamluk (Medinipur E),6,22.3000000,87.9166670,37
772,Siyana,17,28.6279101,78.0609138,16
985,Patna (Musallahpur),26,25.6110000,85.1440000,50
201,Baghapurana,3,30.6856791,75.0940031,6
1286,Rajpipla,14,21.8715143,73.5030517,75
1266,Ahmedgarh,3,30.6780000,75.8270000,41
53,Khanina,16,28.3302908,76.3087282,22
775,Baruipur(Canning),6,22.3596751,88.4317758,37
1325,Kumbhraj,19,24.3700000,77.0500000,9
787,Hansi,16,29.1000000,75.9700000,26
688,"Petlad(Veg Yard, Petlad)",14,22.4836145,72.8013510,3
735,Kesinga,23,20.2000000,83.2300000,60
486,Pandkital,23,20.8765848,83.7205777,60
1349,Kendupatna(Niali),23,20.4685824,86.1459216,14
1335,Piplya,19,22.1376243,74.8682569,28
1165,Sadiq,3,30.7071928,74.5844061,6
233,Kotkapura,3,30.5913084,74.8115340,6
55,Meham,16,28.9658949,76.2963954,26
1191,Pethappampatti,11,10.6776201,77.2160850,13
1039,Vessue,18,33.7781750,76.5761714,17
65,Ratia,16,29.6800000,75.5800000,26
68,Sirsa,16,25.2585031,82.0924577,69
869,Ramnagar,24,29.3947643,79.1264997,25
417,Fatehabad,16,27.0221711,78.3074027,2
90,Rajouri (F&V),18,33.3716143,74.3151910,32
185,Jeypore(Kotpad),23,18.8652780,82.5730560,71
66,Rohtak,16,28.8909000,76.5796000,22
377,Baramati,2,18.1500000,74.5800000,44
270,Shankarapally,32,17.4553645,78.1311666,76
147,Manmad,2,20.2511789,74.4366016,75
198,Adampur,3,31.4329486,75.7139010,41
459,Paonta Sahib,10,30.4452830,77.6020569,15
1280,Nirmal,32,19.0964117,78.3429750,76
1074,Tohana(New Veg Market),16,29.7000000,75.9000000,26
1166,Dadengiri,7,25.7582239,90.2242130,23
374,Harda,19,22.3355446,77.0996085,9
1202,Diamond Harbour(South 24-pgs),6,22.2000000,88.2000000,37
240,Moga,3,30.8164603,75.1717093,6
1381,Handwara (F&V),18,34.3996158,74.2817479,64
909,Khurja,17,28.2513538,77.8538797,16
41,Bhuna,16,29.5364802,75.7107996,26
429,Sangamner,2,19.5771387,74.2079648,44
226,Jalalabad,3,27.7180417,79.6558242,34
1171,Bhehjoi,17,25.3872700,82.5680309,69
1188,Saidpur,17,25.5408003,83.2254204,69
404,Buland Shahr,17,28.4069630,77.8498292,16
64,Rania,16,29.5255162,74.8360918,6
541,Khatauli,17,29.2760000,77.7310000,16
117,Raichur,13,16.2000000,77.3700000,27
1309,Ashoknagar,19,24.5775148,77.7318495,59
858,Sambhal,17,28.5900000,78.5700000,25
821,Jundla,16,29.6509413,76.8735374,35
306,Kopaganj,17,26.0200000,83.5700000,69
168,Balugaon,23,20.1783322,85.1129236,10
73,Tosham,16,28.8663990,75.9122500,26
1575,Basava Kalayana,13,17.8727780,76.9497220,76
916,Porsa(F&V),19,26.6728730,78.3692400,24
1199,Madhira,32,16.9235584,80.3686488,70
1536,Kurwai,19,24.1172220,78.0383330,59
13,Bharuch,14,21.7051358,72.9958748,75
72,Tohana,16,29.7000000,75.9000000,26
403,Awagarh,17,27.4426079,78.4837189,2
1370,Madurai,11,9.9252007,78.1197754,20
1086,Utraula,17,27.3200000,82.4200000,40
971,Thirthahalli,13,13.6894963,75.2449892,43
1426,Singheswarsthan,26,25.9834314,86.7957044,53
337,Burdwan,6,23.2324214,87.8614793,37
329,Varanasi(Grain),17,25.3176452,82.9739144,69
864,Yusufpur,17,25.6269953,83.7491298,69
1085,Maholi,17,27.6537759,80.4757570,40
351,Ballabhgarh,16,28.3421598,77.3255963,16
363,Daltenganj,29,24.0300000,84.0700000,56
156,Pune(Khadiki),2,18.5204303,73.8567437,44
620,Bohorihat,22,26.3304209,91.0040547,23
312,Muradabad,17,28.5055830,77.6922635,16
1392,Petlad,14,22.4836145,72.8013510,3
711,Nawan Shahar(MandiRaho),3,29.8118385,71.2473286,6
405,Devariya,17,26.8346480,81.0616662,40
734,Chirgaon,17,25.5666670,78.8166670,24
778,Badnawar(F&V),19,23.0207891,75.2335788,28
1190,Fruit Market,2,19.0737280,73.0082650,44
907,Kohima,28,25.6701000,94.1077000,36
599,Shahabad,16,27.6441382,79.9447096,34
1242,Ratlam(F&V),19,23.3341696,75.0376325,28
588,Nalbari,22,26.4446185,91.4410527,23
440,Tinsukia,22,27.4921909,95.3467750,29
574,Katpadi(Uzhavar Santhai),11,12.9796167,79.1375374,12
1284,Mangalore,13,12.9141417,74.8559568,43
31,Padra,14,22.2394372,73.0847979,3
109,Bangalore,13,12.9715987,77.5945627,7
578,Kalyani,6,22.9750855,88.4345078,37
1251,Bewar,17,27.2178783,79.2986668,34
1331,Momanbadodiya,19,23.5723229,76.3203091,28
639,Arasikere,13,13.3138890,76.2561110,45
1115,Vijapur,14,23.5700000,72.7500000,3
1487,Sankeshwar,13,16.2547766,74.4818698,18
1300,Goniana(Mehma Sarja),3,30.3191305,74.9146364,6
866,Shikohabad,17,27.1061756,78.5881674,2
1312,Badod,19,23.7920988,75.8083612,28
397,Bowenpally,32,17.4640632,78.4739756,76
1047,Bangarpet,13,13.1267178,78.1349748,7
419,Naneola,16,30.2547879,76.5748309,11
749,Jayas,17,26.2661092,81.5473014,40
828,Tilhar,17,27.9634170,79.7384346,25
950,Mauranipur,17,25.2432171,79.1379196,24
671,Bongiagaon,22,26.4800000,90.5600000,23
955,Siliguri,6,26.7083818,88.4268741,63
1482,Wardha,2,20.7453190,78.6021946,46
575,Diamond Harbour,6,22.2000000,88.2000000,37
1339,Sonkatch,19,22.9729348,76.3469014,28
1388,Ravulapelem,25,17.4986709,81.9998367,71
1311,Badnagar,19,23.0504394,75.3773549,28
877,Samsi,6,25.2734916,88.0039972,53
205,Barnala,3,30.3819446,75.5467979,41
964,Wokha Town,28,26.0910351,94.2589738,36
1414,Darbhanga,26,26.1118680,85.8960040,50
311,Moth,17,25.7200000,78.9500000,24
870,Vikasnagar,24,30.4680000,77.7740000,15
178,Deogarh,23,21.5300000,84.7300000,58
129,Thrissur,27,10.5276416,76.2144349,66
754,Lalganj,17,25.0166651,82.3591012,69
360,Uklana,16,29.5004295,75.8825337,26
222,Goraya,3,31.1240175,75.7778460,41
725,Atarra,17,25.2867411,80.5743969,57
646,Shujalpur,19,23.4000000,76.7200000,9
308,Mahoba,17,25.2920964,79.8724168,34
987,Tanakpur,24,29.0722375,80.1065646,25
806,Angul(Atthamallick),23,20.8444033,85.1510818,14
977,Nadwai,20,27.2144024,77.2031493,2
1501,Karhi,19,22.2787489,75.7974636,28
1431,Bihta,26,25.5633231,84.8698081,50
207,Bathinda,3,30.2109940,74.9454745,6
395,Kota (FV),20,25.2138156,75.8647527,38
487,Rairakhol,23,21.0741608,84.3410586,60
423,Junnar,2,19.2000000,73.8800000,44
1194,Pavagada,13,14.1000000,77.2700000,7
959,Medinipur(West),6,22.4240000,87.3190000,37
139,Chandvad,2,20.3291670,74.2444440,75
40,Barwala,16,29.3641876,75.9056753,26
1217,Patran,3,29.9577000,76.0486000,26
85,Santoshgarh,10,31.3562387,76.3225553,41
924,Kotadwara,24,29.7524013,78.5269027,15
904,Uttaripura,17,26.4894255,80.2819579,34
33,Siddhpur,14,23.9196207,72.3668366,3
1514,Ramachandrapuram,25,16.8372408,82.0325401,70
398,Sadasivpet,32,17.6167000,77.9500000,76
3,Tadepalligudem,25,16.8138415,81.5212410,70
1354,Gotegaon,19,23.0397310,79.4844499,30
1237,Harappana Halli,13,14.8000000,75.9800000,18
855,Sangola,2,17.4340512,75.1953934,18
1336,Pohari,19,25.5409269,77.3640257,24
1184,"New Grain Market(main), Karnal",16,29.8271692,74.9800547,6
876,Sainthia,6,23.9500000,87.6666670,8
1052,Bilaspur,9,31.3429426,76.7625073,42
76,Dhanotu (Mandi),10,32.1926988,76.2290823,17
563,Padampur,23,21.0000000,83.0700000,60
1511,Sendhwa,19,21.6818986,75.0942651,28
190,Kuchinda,23,21.7427571,84.3489467,60
800,Katwa,6,23.6500000,88.1300000,37
714,Pathankot,3,32.2643375,75.6421121,17
1168,Wazirganj,17,28.2200000,79.0500000,25
88,Kathua,18,32.3775789,75.5218468,32
1162,Dhanaula,3,30.2800000,75.5800000,6
463,Gadag,13,15.4324651,75.6380337,18
135,Lashkar,19,26.1973344,78.1684973,24
975,Kama,20,24.9068162,73.6212417,33
1025,Channapatana,13,12.6530000,77.2050000,7
587,Karimganj,22,24.8700000,92.3500000,61
1269,Gajapathinagaram,25,17.7876984,82.9474670,71
1139,Sindagi,13,16.9172558,76.2334278,18
1569,Nuzvid,25,16.7800000,80.8500000,70
391,Nawan Shahar(Subzi Mandi),3,29.8118385,71.2473286,6
372,Manjeri,27,11.1202984,76.1199677,39
1093,Mihipurwa,17,28.0684749,81.2532600,40
127,Kollam,27,8.8932118,76.6141396,68
717,Batote,18,33.1215891,75.3216488,32
1095,4th Mile Dimapur,28,25.8654824,93.7714464,19
1564,Nigdu,16,29.8403836,76.7365380,35
442,Dholka,14,22.7428431,72.4435674,3
731,Talwandi Bhai,3,30.8500000,74.9333000,6
550,Payagpur,17,27.4075094,81.7765233,40
409,Kanpur(Grain),17,26.4499230,80.3318736,34
396,Sriganganagar(F&V),20,29.9038399,73.8771901,6
824,Malur,13,13.0034948,77.9424531,7
1379,Lakhnadon,19,22.6014971,79.6010758,30
538,Kannauj,17,27.0514156,79.9136731,34
428,Rahata,2,19.7166670,74.4833330,44
482,Jatni,23,20.1703784,85.7058693,10
468,Haatpipliya,19,22.7699757,76.3014896,28
892,Parikshitgarh,17,28.9792981,77.9310283,16
1239,Pathalgaon,9,22.5563659,83.4610207,60
97,Gumla,29,23.0441295,84.5379455,56
1289,Tikabali,23,19.7986223,84.3673483,10
1574,Hanagal,13,14.7375271,76.7026255,18
1424,Gulabbagh,26,25.7871464,87.5420579,53
1337,Sevda,19,23.1209453,76.6643728,9
785,Nihal Singh Wala,3,30.5927402,75.2799884,6
812,Gulavati,17,28.5902291,77.7936081,16
1352,Dindori,19,22.9417931,81.0768455,30
508,Chittorgarh,20,24.8887435,74.6269216,38
986,Chevella,32,17.3123703,78.1385410,76
1130,Jogipet,32,17.8333330,78.0666670,76
357,Safidon,16,29.4060653,76.6614853,35
939,Koregaon,2,17.6966354,74.1607179,44
1164,Hoskote,13,13.0700000,77.8000000,7
441,Amod,14,22.0000000,72.8700000,75
814,Dhing,22,26.4700000,92.4700000,23
1041,Karmala,2,18.4044833,75.1953934,44
256,Sirhind,3,30.6159636,76.3810922,11
555,Kamakhyanagar,23,20.9228602,85.5560635,14
1567,Pusapatirega,25,18.0919920,83.5522700,71
481,Jaleswar,23,21.8038883,87.2269973,37
458,Nahan,10,30.5599327,77.2954830,49
868,Bermo,29,23.7833330,85.9500000,56
1225,Bara Bazar,4,23.7326850,92.7171403,4
1270,Chopada,2,21.2472081,75.3031435,28
1523,Berasia,19,23.6278576,77.4314466,9
962,Vandiperiyar,27,9.5693449,77.0862926,21
803,Bhawanipatna,23,19.9080190,83.1702597,60
446,Cheeka,16,30.0468116,76.3463624,35
728,Baberu,17,25.5503485,80.7048084,34
62,Radaur,16,30.0271643,77.1492940,35
1531,Jeerapur,19,24.0200000,76.3800000,9
427,Pune,2,18.5204303,73.8567437,44
36,Visavadar,14,21.3410369,70.7522299,55
901,Godhra,14,22.7788044,73.6142795,3
174,Bhanjanagar,23,19.9300000,84.5800000,10
1196,Porsa,19,26.6728730,78.3692400,24
422,Akole,2,19.5406298,74.0054280,44
1413,Biharsharif,26,25.1982147,85.5148735,50
761,Naanpara,17,27.8674709,81.4992884,40
730,Hindol,23,20.6131143,85.2023569,14
887,Mohammdi,17,27.9546524,80.2135340,40
1125,Falakata,6,26.5333330,89.2000000,63
530,Dudhi,17,24.2154062,83.2385559,69
1204,Nadiad,14,22.7000000,72.8700000,3
389,Malerkotla,3,30.5232076,75.8882508,41
1210,Banaganapalli,25,15.3181028,78.2255450,27
1390,Alathur,27,10.6419924,76.5449647,47
610,Junagarh,23,19.8620964,82.9405172,54
1548,Timarni,19,22.3692296,77.2261452,9
984,"Patan(Veg,Yard Patan)",14,23.8493246,72.1266255,3
654,Chelakkara,27,10.7000000,76.3500000,66
661,Muradnagar,17,28.7703752,77.4988753,16
284,Bijnaur,17,26.7426394,80.9014160,40
1372,Nandyal,25,15.4785694,78.4830934,27
491,Kadur,13,13.5533476,76.0111179,43
1358,Mandla,19,22.5979218,80.3713855,30
1254,Nawada,26,24.8800000,85.5300000,50
1037,Chintamani,13,13.4019689,78.0551384,7
49,Indri,16,29.8811462,77.0541183,35
782,Durgapur,6,23.5204443,87.3119227,37
211,Dasuya,3,31.8132260,75.6637375,17
116,Mysore (Bandipalya),13,12.2958104,76.6393805,45
304,Khair,17,27.9391956,77.8424456,2
410,Khalilabad,17,26.7774163,83.0656680,69
30,Morbi,14,22.8119895,70.8236195,55
209,Budalada,3,29.9266932,75.5541854,6
173,Bhadrak,23,21.0582737,86.4958396,14
1072,Namhol(Bilaspur),10,31.2568523,76.8598442,62
1023,Koppa,13,13.5288647,75.3630796,43
146,Lasalgaon,2,20.1500000,74.2400000,44
239,Malout,3,30.1900000,74.4990000,6
557,Sandi,17,27.2901003,79.9555447,34
702,Piravam,27,9.8730715,76.4919511,21
99,Jamshedpur,29,22.8045665,86.2028754,56
1541,Pachaur,19,24.1365181,82.3506142,57
1102,Jowai,7,25.4509020,92.2089109,61
573,Dhariwal,3,31.9585040,75.3232450,5
807,Athagarh,23,20.5173954,85.6306396,14
650,Hathin,16,28.0359281,77.2318934,22
601,Bilaspur,10,31.3429426,76.7625073,42
915,Sikandraraau,17,27.6864088,78.3782740,2
966,Shamli,17,29.4480560,77.3102780,35
1121,Tikonia,17,26.8761563,80.9684566,40
1398,Akola,2,20.7059345,77.0219019,46
474,Lasalgaon(Niphad),2,20.1500000,74.2400000,44
350,Bahadurgarh,16,28.6800000,76.9200000,22
847,Vijayawada,25,16.5061743,80.6480153,70
140,Devala,2,19.5775185,77.0535680,76
29,Mehsana(Mehsana Veg),14,23.5879607,72.3693252,3
274,Allahabad,17,25.4358011,81.8463110,57
793,Akluj,2,17.8824450,75.0205283,18
1500,Jobat,19,22.4200000,74.5700000,28
988,Shamgarh,19,24.1883179,75.6352989,38
1538,Narsinghgarh,19,23.7000000,77.1000000,9
221,Goniana,3,30.3191305,74.9146364,6
408,Jarar,17,26.8696550,78.5689242,2
1357,Keolari,19,22.3702354,79.9065587,30
1353,Gorakhpur,19,26.7605545,83.3731675,69
1000,Gajol,6,25.2108593,88.1923843,53
1155,Acharapakkam,11,12.3959000,79.8091000,52
1393,Kakinada,25,16.9890648,82.2474648,71
633,Thamarassery,27,11.4138890,75.9227780,39
1192,"Anjar(Veg,Sub Yard)",14,23.1379042,70.0172075,73
165,Keshopur,5,28.6518338,77.0809093,16
1109,Howrah,6,22.5957689,88.2636394,37
1253,Bhodhan,32,18.6700000,77.9000000,76
60,Panipat,16,29.3909464,76.9635023,35
370,Anchal,27,8.9300191,76.9064744,68
880,Dahod,14,22.8379314,74.2531465,28
246,Phagwara,3,31.2240198,75.7708013,41
524,Barabanki,17,26.9400001,81.1900000,40
2,Pattikonda,25,15.3968177,77.5007186,27
1256,Adilabad(Rythu Bazar),32,19.6700000,78.5300000,76
1322,Khaniadhana,19,25.0320704,78.1270298,24
316,Raibareilly,17,28.3670355,79.4304381,25
1334,Pichhour,19,25.1783330,78.1886110,24
1187,Ongole(Rythu Bazar),25,15.5057232,80.0499220,27
96,Godda,29,24.8255215,87.2135177,8
507,Ropar,3,30.9659168,76.5230234,11
707,Amritsar,3,31.6339793,74.8722642,5
996,Thoubal,15,24.6449243,93.9992900,36
1489,Bolangir(Patnagarh),23,20.7074234,83.4842725,60
494,Moovattupuzha,27,9.9670000,76.5830000,21
280,Banda,17,25.4833330,80.3333330,34
171,Bargarh(Barapalli),23,21.3300000,83.6200000,60
217,Ferozepur Cantt.,3,30.9107385,74.6224755,5
325,Tamkuhi Road,17,26.7245120,84.2276650,50
995,Moreh,15,24.2512810,94.3013043,36
1497,Dhar,19,22.6012922,75.3024655,28
324,Sultanpur,17,26.2647757,82.0727061,40
1528,Gairatganj,19,23.4122220,78.2216670,59
570,Bikaner(F&V),20,28.0100000,73.3000000,33
825,Sardhana,17,29.1500000,77.6200000,16
656,Jahangirabad,17,28.4043066,78.1048716,16
1544,Rehati,19,25.9746655,77.8052767,24
890,Navapur,2,21.1616527,73.7946403,75
196,Udala,23,21.5700000,86.5700000,14
851,Goreswar,22,26.5400000,91.7300000,23
949,Jhijhank,17,26.5622301,79.7357812,34
1294,Somvarpet,13,12.5943101,75.8504904,45
914,Sahaspur,23,20.7545837,86.3022953,14
1163,Ramanathapuram(phase 3),11,10.9974549,76.9915961,13
710,Jora,19,26.3440501,77.8072373,24
1330,Maksudangarh,19,24.0641223,77.2462628,9
305,Khairagarh,17,26.9425734,77.8190140,2
366,Chickkaballapura,13,13.4300000,77.7200000,7
14,Bhavnagar,14,21.7644725,72.1519304,75
450,Hodal,16,27.9000000,77.3700000,22
872,Asansol,6,23.6739452,86.9523954,8
745,Jafarganj,17,25.9159921,80.5014703,34
856,Nandura,2,20.8333330,76.4597220,28
273,Aligarh,17,27.9000000,78.0800000,2
645,Sabalgarh,19,26.2469802,77.4070144,24
1273,Pandhurna,19,21.6000000,78.5200000,46
1183,Jalana,2,19.8296893,75.8800305,28
732,Bharthna,17,26.7500000,79.2300000,34
299,Hasanpur,17,28.7200000,78.2800000,16
1389,Limdi,14,23.0088266,74.1558712,3
521,Rerozepur Zhirka,16,27.7873427,76.9464633,22
1134,Akodia,19,23.3813932,76.6037222,9
1509,Sanawad,19,22.1800000,76.0700000,28
1113,Agar,19,24.2321486,75.4985521,38
24,Jetpur(Dist.Rajkot),14,23.0000614,70.8927307,55
792,Pen,2,18.7348880,73.0966019,44
701,"New Grain Market , Rohtak",16,28.8875862,76.5704967,22
652,Iamailabad,16,30.1170485,76.6672602,35
680,Kendrapara(Marshaghai),23,20.4969108,86.4288534,14
766,Robertsganj,17,24.6850005,83.0683519,69
1302,Narayanpet,32,16.7445112,77.4960078,76
796,Sakri,2,20.9926045,74.3140742,75
1057,Shopian,18,33.7170033,74.8360918,64
1038,Morena(F&V),19,26.5000000,78.0000000,24
1250,Hajipur,26,25.5770450,87.5346402,53
1561,Mehmadabad,14,22.9991066,72.6165690,3
294,Ghiraur,17,27.1870036,78.7931991,2
518,Anandnagar,17,27.1022603,83.2759219,69
827,Kottarakkara,27,9.0009187,76.7720205,68
369,Aluva,27,10.1075702,76.3456620,21
488,Bhadravathi,13,13.8400000,75.7020000,43
1361,Sehora,19,23.1168513,80.1289010,30
436,Jaggayyapeta,25,16.8920000,80.0976010,70
1213,Himatnagar(Veg.Market Himatnagar),14,23.6036268,72.9639461,3
1493,Badnawar,19,23.0207891,75.2335788,28
670,Damoh,19,23.8380986,79.4421731,59
484,Khunthabandha,23,20.8284460,84.3271305,60
170,Bargarh,23,21.3300000,83.6200000,60
519,Badayoun,17,28.0337088,79.1205419,25
1560,Tapa(Sadar Bazar),3,30.2980560,75.3688890,6
1099,Sakaleshpura,13,12.9441511,75.7865653,43
175,Boudh,23,20.8284460,84.3271305,60
628,Parappanangadi,27,11.0605060,75.8507818,39
108,Simdega,29,22.6100000,84.5000000,58
942,Sulya,13,12.5580560,75.3891670,43
516,Narnaul,16,28.0657961,76.1014781,22
689,Taleja,14,21.3514348,72.0327247,75
1055,Junagadh,14,21.5221840,70.4578768,55
888,Thalayolaparambu,27,9.7850000,76.4481000,21
668,Gosala,23,21.4268410,83.9001366,60
1003,Shamgarh(F&V),19,24.1883179,75.6352989,38
1432,Akkalkot,2,17.5242162,76.2054416,18
141,Dindori,2,22.9417931,81.0768455,30
319,Sahiyapur,17,27.3838944,82.4847517,40
1110,Parvathipuram,25,18.7817162,83.4267518,71
976,Mulabagilu,13,13.1666533,78.3940737,7
1304,Rajahmundry,25,17.0005383,81.8040345,70
250,Rajpura,3,30.4839970,76.5939516,11
1087,Viswan,17,27.4937578,80.9964806,40
1581,Shahapur,2,16.6956754,76.8431564,18
44,Dabwali,16,29.9480490,74.7341349,6
1328,Magroni,19,25.7004580,77.9367409,24
471,Jalgaon,2,20.9979840,75.5667110,28
1522,Begamganj,19,23.6011232,78.3359475,59
1310,Badarwas,19,24.9769380,77.5644966,24
629,Parassala,27,8.3438981,77.1519902,68
1026,Bhesan,14,21.5548528,70.7034651,55
698,Mannar,27,9.3171351,76.5343721,21
456,Chamba,10,32.5533633,76.1258083,17
1435,Jahajharpur,26,26.2674009,86.2969422,8
1054,Ghatal,6,22.6700000,87.7200000,37
756,Kodungalloor,27,10.2093879,76.1958429,21
1520,Bankhedi,19,22.7690544,78.5348565,59
1350,Balaghat,19,21.8128760,80.1838293,46
622,Dhekiajuli,22,26.7000000,92.5000000,23
1200,Bazpur,24,29.1585345,79.1463868,25
333,Bankura Sadar,6,23.2290173,87.0650019,37
928,Bayana,20,26.9158088,77.2893606,2
523,Bangarmau,17,26.8917079,80.2126756,34
128,Kottayam,27,9.5915668,76.5221531,21
434,Raikot,3,30.6500000,75.6000000,41
1504,Khetia,19,21.6733330,74.5869440,28
334,Bara Bazar (Posta Bazar),6,22.5817406,88.3543972,37
802,Mylavaram,25,16.7638263,80.6382413,70
303,Kasganj,17,27.8129344,78.6497850,2
1488,Danapur,26,25.6206672,85.0493253,50
